Codice,Autore,Titolo,Editore,Anno,Luogo,Pagine,Classificazione
L148,Vittorio Lingiardi,Mindscapes. Psiche nel paesaggio,Cortina Raffaello,,,0,Sociologia
L428,Wilbur Smith,Monsone,Tea,,,0,Romanzo
L240,Danila Comastri Montanari,Morituri te salutant,Hobby Work Publishing,,,0,Romanzo
L221,Danila Comastri Montanari,Mors tua,Oscar Bestsellers,,,0,Romanzo
L285,Ian Rankin,Mortal Causes,Ian Rankin,,,0,Gialli
L277,Antonio Cederna,Mussolini urbanista. Lo sventramento di Roma negli anni del consenso,Corte del Fontego,,,0,Saggi
L598,Michael Kofler,My SQL 5,Apogeo,,,0,Informatica
L597,Bois Paul Du,MySQL,Pearson Education Italia,,,0,Informatica
L470,"Paul DuBois, Stefan Hinz, Carsten Pedersen",MySQL 5.0 Certification Study Guide (MySQL Press),MySQL Press,,,0,Informatica
L596,"Jeremy D. Zawodny, Derek J. Balling",MySQL. Guida avanzata,Tecniche Nuove,,,0,Informatica
L469,MySQL AB,MySQL. Guida ufficiale,Mondadori Informatica,,,0,Informatica
L441,Lewis,Naples '44: A World War II Diary of Occupied Italy,DaCapo Press,,,0,Storia
L239,"Boris Pahor, E. Martin",Necropoli,Fazi,,,0,Romanzo
L392,Christin Jacq,Nefer,Mondadori,,,0,Romanzo
L377,Alan Drew,Nei giardini d'acqua,Piemme,,,0,Romanzo
L18,"Chris Offutt, R. Serrai",Nelle terre di nessuno,Sotterranei,,,156,Racconti
L236,Danila Comastri Montanari,Nemesis,Hobby Work Publishing,,,0,Romanzo
L30,Marcella Russano,"Nero a meta'. Dalle origini a ""Grande madre"" tutta la poesia di Pino Daniele",Best Bur,,,0,Musica
L102,CHRISTINA LATHAM-KOENIG CLIVE OXENDEN,NEW ENGLISH FILE INTERMEDIATE PACK WITHOUT KEY MULTIROM PACK (NEW ENGLISH FILE INTERMEDIATE PACK),Oxford University Press,,,0,Lingue
L657,vari,New Yorkers - Short Stories: 700 Headwords (Oxford Bookworms Library),Oxford University Press,,,0,Lingue
L83,Giorgio Faletti,Niente di vero tranne gli occhi,Dalai Editore,,,0,Romanzo
L473,Franco Battiato,Niente e' come sembra. Con DVD,Bompiani,,,0,Musica
